id,key,value
320630660,name,Pedra do Pampo
320630660,natural,peak
320631168,ele,442
320631168,name,Mourão
320631168,natural,peak
320632043,created_by,Potlatch 0.10f
320632043,natural,peak
320632085,fixme,resurvey
320632085,name,Morro do Telégrafo
320632085,natural,peak
320632184,created_by,Potlatch 0.10f
320632184,natural,peak
320641257,created_by,Potlatch 0.10f
320641257,natural,peak
320648679,highway,turning_circle
320648736,highway,turning_circle
320648841,highway,turning_circle
320648965,highway,turning_circle
320649015,highway,turning_circle
320649068,highway,turning_circle
320649155,highway,turning_circle
320649222,highway,turning_circle
320652975,highway,turning_circle
320656207,highway,turning_circle
320656255,highway,turning_circle
320686314,barrier,gate
320725223,highway,turning_circle
320727093,highway,turning_circle
320728399,highway,turning_circle
320728524,highway,turning_circle
320728526,highway,turning_circle
320736494,highway,turning_circle
320753002,natural,peak
320871020,access,no
320871020,barrier,gate
320871020,foot,yes
320871020,goods,yes
320871020,hgv,yes
320871020,motorcar,yes
320872215,highway,turning_circle
320891134,highway,traffic_signals
320891499,highway,motorway_junction
320891499,name,Gradim
320891499,name:pt,Gradim
320891499,ref,316
320892929,highway,motorway_junction
320892929,name,Porto da Pedra
320892929,name:pt,Porto da Pedra
320892929,ref,313
320894110,barrier,toll_booth
320894110,operator,Autopista Flimunense
320910299,name,Morro do Abacate
320910299,natural,peak
320911906,highway,traffic_signals
320912477,highway,traffic_signals
320913290,highway,traffic_signals
320913434,barrier,gate
320913434,foot,yes
320920277,harbour,yes
320920277,leisure,marina
320920277,seamark:type,harbour
320924259,natural,peak
320924261,natural,peak
320968061,aeroway,helipad
320968061,ele,3
320968061,icao,SDPU
320970118,harbour,yes
320970118,leisure,marina
320970118,seamark:harbour:category,marina
320970118,seamark:type,harbour
320975526,highway,traffic_signals
320975833,highway,traffic_signals
320976214,FIXME,conectada na outra via (tunel)?
320977559,ele,87
320977559,natural,peak
320978130,highway,traffic_signals
321236061,name,Morro da Viração
321236061,natural,peak
321236092,name,Morro do Preventório
321236092,natural,peak
321325731,highway,turning_circle
321739993,highway,turning_circle
321740027,highway,turning_circle
321989353,highway,traffic_signals
322751103,ele,270m
322751103,name,Rampa Norte
322751103,note,Paraglider ramp
322751103,tourism,viewpoint
322751103,wheelchair,yes
322751173,ele,265m
322751173,name,Rampa Sul
322751173,note,Paraglider ramp
322751173,tourism,viewpoint
322751173,wheelchair,yes
322752971,created_by,Potlatch 0.10f
322752971,natural,peak
322753144,created_by,Potlatch 0.10f
322753144,natural,peak
322755672,highway,mini_roundabout
322760286,name,Morro do Macaco
322760286,natural,peak
322760497,name,Pico do Forte
322760497,natural,peak
322760544,historic,castle
322760544,name,Forte Barão do Rio Branco
322765863,created_by,Potlatch 0.10f
322765863,name,Hotel Fagundes Varela
322765863,tourism,hotel
322766870,amenity,restaurant
322766870,name,Fortaleza de Santa Cruz da Barra
322767260,barrier,lift_gate
322767789,amenity,restaurant
322767789,name,La Mole
322842507,highway,traffic_signals
322851149,created_by,Potlatch 0.10f
322851149,highway,turning_circle
322854925,highway,traffic_signals
322854936,highway,traffic_signals
322855022,highway,traffic_signals
322855191,fixme,resurvey
322855191,highway,traffic_signals
322855385,highway,traffic_signals
322855447,highway,traffic_signals
324277900,historic,monument
324282016,shop,supermarket
324289694,highway,turning_circle
331882834,railway,level_crossing
331882836,railway,level_crossing
331882839,railway,level_crossing
331882842,railway,level_crossing
331882844,railway,level_crossing
331882845,railway,level_crossing
331883410,railway,level_crossing
331883422,railway,level_crossing
331884296,railway,level_crossing
331884299,railway,level_crossing
331884644,railway,level_crossing
331884981,railway,level_crossing
331884987,railway,level_crossing
331884991,railway,level_crossing
331885115,railway,level_crossing
331885116,railway,level_crossing
332159782,ele,502
332159782,natural,peak
332159794,ele,393
332159794,natural,peak
332160356,census,2008
332160356,is_in:continent,South America
332160356,is_in:country,Brasil
332160356,is_in:state,Rio de Janeiro
332160356,is_in:state_code,RJ
332160356,name,Saquarema
332160356,place,town
332160356,population,67853
332160356,source,IBGE
332160356,wikidata,Q653716
332204248,amenity,restaurant
332204248,cuisine,regional
332204248,name,churrascaria
335418913,amenity,restaurant
335418913,cuisine,pizza
335418913,name,Pizzaria de Icaraí
335418962,addr:housenumber,184
335418962,addr:postcode,24220-031
335418962,addr:street,Rua General Pereira da Silva
335418962,amenity,place_of_worship
335418962,denomination,pentecostal
335418962,name,Comunidade Evangélica Sara Nossa Terra
335418962,religion,christian
335418967,addr:housenumber,186
335418967,addr:postcode,24220-031
335418967,addr:street,Rua General Pereira da Silva
335418967,name,Carminha Coiffeur
335418967,shop,hairdresser
335418970,addr:housenumber,188
335418970,addr:postcode,24220-031
335418970,addr:street,Rua General Pereira da Silva
335418970,name,Lav Fácil
335418970,shop,laundry
335418988,addr:postcode,24220-031
335418988,addr:street,Rua General Pereira da Silva
335418988,name,Madeirol
335418988,shop,furniture
335419086,addr:postcode,24220-031
335419086,addr:street,Rua General Pereira da Silva
335419086,shop,bakery
335419097,addr:housenumber,185
335419097,addr:street,Rua Presidente Backer
335419097,name,Peixaria
335419097,shop,fish
335419101,addr:housenumber,185
335419101,addr:street,Rua Presidente Backer
335419101,amenity,doctors
335419101,name,Dental Express
335514529,created_by,Potlatch 0.10f
335514529,name,Condomínio Vale de Itaipu
335717644,highway,bus_stop
335949896,amenity,bank
335949896,name,Itaú
335949955,amenity,place_of_worship
335949955,name,Igreja de Nossa Senhora do Sagrado Coração
335949955,religion,christian
336143976,is_in:city,Niterói
336143976,is_in:country,Brasil
336143976,is_in:state,Rio de Janeiro
336143976,is_in:state_code,RJ
336143976,name,São Francisco
336143976,place,suburb
336150064,highway,turning_circle
336150070,highway,traffic_signals
336150128,highway,traffic_signals
336150134,highway,traffic_signals
336150137,highway,traffic_signals
336150164,highway,traffic_signals
336161798,name,Nando
336161798,shop,supermarket
336168605,is_in:city,Niterói
336168605,name,Boa Viagem
336168605,place,suburb
336169704,is_in:city,Niterói
336169704,name,Charitas
336169704,place,suburb
336170062,is_in:city,Niterói
336170062,name,Jurujuba
336170062,place,suburb
336171569,is_in:city,Niterói
336171569,name,Camboinhas
336171569,place,suburb
337586461,created_by,Potlatch 0.10f
337586461,int_name,Serra dos Órgãos
337586461,leisure,nature_reserve
337586461,name,Parque Nacional da Serra dos Órgãos
337586461,name:en,Serra dos Orgaos
337586461,tourism,attraction
337627888,amenity,parking
337628249,amenity,parking
337694865,created_by,Potlatch 0.10f
337694865,natural,peak
337694996,created_by,Potlatch 0.10f
337694996,natural,peak
337704252,ele,1416
337704252,name,Serra dos Cavalos
337704252,natural,peak
337704523,ele,1969
337704523,name,Pilatos
337704523,natural,peak
337705528,ele,1946
337705528,name,Serrote
337705528,natural,peak
338132479,highway,traffic_signals
338169497,railway,level_crossing
338169501,name,Guapimirim
338169501,operator,SuperVia
338169501,railway,station
338171864,is_in,"Cachoeiras de Macacu, Rio de Janeiro, Brazil"
338171864,name,Japuíba
338171864,place,village
338172414,railway,level_crossing
338172417,railway,level_crossing
338172428,railway,level_crossing
338172429,railway,level_crossing
338172558,is_in,"Magé, Rio de Janeiro, Brazil"
338172558,name,Barão de Iriri
338172558,place,suburb
338172746,waterway,weir
338172747,waterway,weir
338177108,highway,speed_camera
338177108,maxspeed,50
338188670,is_in,"Cachoeiras de Macacu, Rio de Janeiro, Brazil"
338188670,name,Papucaia
338188670,place,village
338197354,FIXME,check
338197354,railway,level_crossing
338305770,is_in,"Saquarema, Rio de Janeiro, Brazil"
338305770,name,Bacaxá
338305770,name:en,Bacaxa
338305770,place,suburb
338320951,highway,motorway_junction
338321703,is_in,"Magé, Rio de Janeiro, Brazil"
338321703,name,Suruí
338321703,place,suburb
338513865,amenity,pharmacy
338513865,dispensing,no
338513865,name,Drogaria Moderna
338513866,amenity,pub
338513867,addr:city,Niterói
338513867,addr:housenumber,155
338513867,addr:street,Rua General Pereira da Silva
338513867,addr:suburb,Icaraí
338513867,name,Prêmio Livraria Papelaria
338513867,shop,books
338513868,amenity,restaurant
338513868,cuisine,regional
338513869,amenity,restaurant
338513869,cuisine,italian
338513869,name,Spoleto
338513870,amenity,bank
338513870,atm,no
338513870,name,Financiadora
338513871,name,Casa Lotérica
338513873,amenity,bank
338513873,name,Santander
338513874,name,Tim
338513874,shop,electronics
338515477,census,2008
338515477,is_in:continent,South America
338515477,is_in:country,Brasil
338515477,is_in:state,Rio de Janeiro
338515477,is_in:state_code,RJ
338515477,name,Silva Jardim
338515477,old_name,Vila de Capivari
338515477,place,town
338515477,population,22158
338515477,source,IBGE
338515477,url,http://www.silvajardim.rj.gov.br/
338515477,wikidata,Q927311
338515484,census,2008
338515484,is_in:continent,South America
338515484,is_in:country,Brasil
338515484,is_in:state,Rio de Janeiro
338515484,is_in:state_code,RJ
338515484,name,São Pedro da Aldeia
338515484,place,town
338515484,population,82951
338515484,source,IBGE
338515484,url,http://www.pmspa.rj.gov.br
338515484,wikidata,Q581213
338515489,census,2008
338515489,is_in:continent,South America
338515489,is_in:country,Brasil
338515489,is_in:state,Rio de Janeiro
338515489,is_in:state_code,RJ
338515489,name,Iguaba Grande
338515489,place,town
338515489,population,22199
338515489,source,IBGE
338515489,url,http://www.iguaba.rj.gov.br/
338515489,wikidata,Q1761488
338515501,census,2010
338515501,is_in:continent,South America
338515501,is_in:country,Brasil
338515501,is_in:state,Rio de Janeiro
338515501,is_in:state_code,RJ
338515501,name,Rio das Ostras
338515501,old_name,Rio Leripe; Rio Seripe
338515501,place,city
338515501,population,101508
338515501,source,IBGE
338515501,url,http://www.riodasostras.rj.gov.br/
338515501,wikidata,Q1787668
338515515,census,2008
338515515,is_in:continent,South America
338515515,is_in:country,Brasil
338515515,is_in:state,Rio de Janeiro
338515515,is_in:state_code,RJ
338515515,name,Casimiro de Abreu
338515515,place,town
338515515,population,29811
338515515,source,IBGE
338515515,url,http://www.casimiro.rj.gov.br/
338515515,wikidata,Q1761688
338515516,census,2008
338515516,is_in:continent,South America
338515516,is_in:country,Brasil
338515516,is_in:state,Rio de Janeiro
338515516,is_in:state_code,RJ
338515516,name,Cachoeiras de Macacu
338515516,place,town
338515516,population,56529
338515516,source,IBGE
338515516,wikidata,Q1983181
338515519,census,2010
338515519,is_in:continent,South America
338515519,is_in:country,Brasil
338515519,is_in:state,Rio de Janeiro
338515519,is_in:state_code,RJ
338515519,name,Cabo Frio
338515519,place,city
338515519,population,186222
338515519,source,IBGE
338515519,url,http://www.cabofrio.rj.gov.br
338515519,wikidata,Q735025
338515521,census,2008
338515521,is_in:continent,South America
338515521,is_in:country,Brasil
338515521,is_in:state,Rio de Janeiro
338515521,is_in:state_code,RJ
338515521,name,Arraial do Cabo
338515521,place,town
338515521,population,26636
338515521,source,IBGE
338515521,url,http://www.arraial.rj.gov.br
338515521,wikidata,Q1750235
338515529,census,2010
338515529,is_in:continent,South America
338515529,is_in:country,Brasil
338515529,is_in:state,Rio de Janeiro
338515529,is_in:state_code,RJ
338515529,name,Araruama
338515529,place,city
338515529,population,112028
338515529,source,IBGE
338515529,url,http://www.araruama.rj.gov.br/
338515529,wikidata,Q1761549
338643119,highway,traffic_signals
338643120,highway,traffic_signals
338643121,highway,traffic_signals
338643124,highway,traffic_signals
338643125,highway,traffic_signals
338643128,highway,traffic_signals
338643129,highway,traffic_signals
338643140,highway,traffic_signals
338643147,highway,stop
338643148,highway,stop
338643151,highway,traffic_signals
338643154,highway,stop
338643156,highway,traffic_signals
338643160,highway,traffic_signals
338643161,highway,traffic_signals
338643162,highway,traffic_signals
338643163,highway,traffic_signals
338844216,ele,911
338844216,name,Coruja
338844216,natural,peak
338845713,ele,1109
338845713,natural,peak
338845713,source,IBGE
338846702,ele,1551
338846702,natural,peak
343766016,highway,turning_circle
343766130,highway,turning_circle
343766283,highway,turning_circle
343766497,highway,turning_circle
343766682,highway,turning_circle
344499335,highway,turning_circle
344499478,highway,turning_circle
344730220,highway,turning_circle
344730481,highway,turning_circle
345191274,barrier,gate
345199000,highway,motorway_junction
345199000,name,Guaxindiba
345199000,ref,303
345199260,highway,motorway_junction
345199260,name,Guaxindiba
345199260,ref,303
345200189,amenity,fuel
345200189,created_by,Potlatch 0.10f
345220984,railway,level_crossing
345223319,highway,traffic_signals
345223320,highway,traffic_signals
345225625,highway,traffic_signals
