id,key,value
27294331,surface,asphalt
27294338,highway,residential
27294338,name,Rua Imbetiba
27294342,created_by,Potlatch 0.10b
27294342,highway,residential
27294342,name,Rua Aristides Lima
27294346,created_by,Potlatch 0.10b
27294346,highway,residential
27294346,name,Rua Jackson de Figueiredo
27294348,highway,residential
27294348,name,Rua Guerra Durval
27294350,highway,residential
27294350,name,Rua Ricardo Ramos
27294353,highway,residential
27294353,name,Avenida André Docier
27294355,highway,residential
27294355,name,Rua Urussanga
27294359,highway,residential
27294359,name,Rua Hilda Tinoco
27294361,highway,residential
27294361,name,Rua Antônio Leandro
27294362,highway,residential
27294362,name,Rua General Marques Leitão
27294379,highway,residential
27294379,name,Rua Garcia Redondo
27294381,highway,residential
27294381,name,Rua Jaime Batalha
27294386,highway,secondary
27294386,name,Rua Lindolfo Fernandes
27294386,oneway,yes
27294390,highway,residential
27294390,name,Rua Adelito Costa
27294391,created_by,Potlatch 0.10b
27294391,highway,residential
27294391,name,Rua Laura Almeida Buarque
27294394,highway,residential
27294394,name,Rua Domingos Borges
27294397,highway,residential
27294397,name,Rua Eduardo Brasão
27294400,highway,residential
27294400,name,Rua Oscar Guanabarino
27294402,highway,residential
27294402,name,Rua Januário Barbosa
27294403,created_by,Potlatch 0.10b
27294403,highway,residential
27294403,name,Rua Jorge Dantas
27294406,highway,residential
27294406,lanes,1
27294406,name,Rua Paulo Barreto
27294406,oneway,no
27294406,surface,asphalt
27294411,highway,residential
27294411,name,Rua João Sampaio Raul Decores
27294417,highway,residential
27294417,name,Rua Julio Lima
27294417,surface,dirt
27294420,highway,residential
27294420,lanes,1
27294420,name,Rua Urbano dos Santos
27294420,oneway,no
27294420,surface,asphalt
27294427,created_by,Potlatch 0.10b
27294427,highway,residential
27294427,name,Rua Ubirajara
27294428,created_by,Potlatch 0.10b
27294428,highway,residential
27294428,name,Rua Jaguari
27294434,highway,residential
27294434,name,Rua Rio Araguaia
27294439,created_by,Potlatch 0.10b
27294439,highway,residential
27294439,name,Rua Jaguaré
27294444,created_by,Potlatch 0.10b
27294444,highway,residential
27294444,name,Rua Ubiratan
27294483,created_by,Potlatch 0.10b
27294483,highway,residential
27294483,name,Rua Lucio Alves
27294486,highway,residential
